timestamp,city,pm25,pm10,no2,so2,co,o3,aqi,data_source,station_id,quality_flag,no2_tropospheric_column,temperature_2m,relative_humidity_2m,wind_speed_10m
2024-01-01,Delhi,133.37152972698553,200.0572945904783,47.32363204351957,2.3550843026007975,0.5754489777228774,37.338362891423024,Unhealthy,cpcb,CPCB_Delhi_2736,1,58.774110551346354,26.891064179557777,56.098727799633146,10.982560681706186
2024-01-01,Mumbai,40.76515967355249,61.147739510328734,47.220239336792446,27.851463387840546,1.7205138610943866,34.1943598571656,Unhealthy for Sensitive Groups,cpcb,CPCB_Mumbai_3318,1,16.828233004881447,24.267138850639974,89.0834639135142,9.184579774311908
2024-01-01,Bengaluru,76.913716067576,115.37057410136401,27.52936937712103,26.676060039073555,0.7591725522912212,12.600143771980207,Unhealthy,cpcb,CPCB_Bengaluru_8254,1,17.451683108759763,15.210052104275272,78.12647039727139,12.324222330845618
2024-01-01,Chennai,86.8438767575896,130.2658151363844,64.58963250826466,8.202655000437627,1.1576487083236204,27.237007587617025,Unhealthy,cpcb,CPCB_Chennai_4771,1,37.42683807393665,37.98055098574528,74.68938649981143,11.797967757968523
2024-01-01,Kolkata,47.237412437542766,70.85611865631415,51.60317824002934,-0.9777091718428004,1.3156486636550289,30.990070156956627,Unhealthy for Sensitive Groups,cpcb,CPCB_Kolkata_2429,1,48.27752923948856,34.08953328712313,98.34376337126363,10.034498541418674
2024-01-01,Hyderabad,29.362105158875735,44.0431577383136,49.994621364161,17.3657722750528,2.2534084083054178,20.20668071409939,Moderate,cpcb,CPCB_Hyderabad_4396,1,34.1039221463353,24.11303746627647,82.81416789702436,10.278320555103027
2024-01-01,Pune,0.0,0.0,66.70739521347839,13.679628263349137,1.454426779424393,46.216264723506896,Good,cpcb,CPCB_Pune_7240,1,14.60108276671368,20.36218915674626,67.84235720611781,11.0050937024446
2024-01-01,Ahmedabad,72.75283361869829,109.12925042804744,34.15065541264131,22.09013854804882,1.5494218835342306,34.02866273223942,Unhealthy,cpcb,CPCB_Ahmedabad_9872,1,17.904866334458866,22.84379241861669,53.01856753870546,9.652006668939736
2024-01-01,Jaipur,15.538892084317684,23.308338126476528,53.88766232092995,19.47602264201391,1.8717833043625736,27.984604164594355,Moderate,cpcb,CPCB_Jaipur_7647,2,34.190392749131135,34.600486030329975,34.96676896559356,12.561963838850874
2024-01-01,Lucknow,73.39337556076974,110.0900633411546,65.26289065101476,19.40519478741365,1.027714609084582,36.80551481183849,Unhealthy,cpcb,CPCB_Lucknow_9637,1,30.76121386140692,27.802433107425134,46.90574320961236,3.6072112785603885
2024-01-02,Delhi,71.12264382755832,106.68396574133749,26.0045402284157,27.91310728741852,0.6115095794199708,35.95543176367242,Unhealthy,cpcb,CPCB_Delhi_4115,1,51.41853016168585,26.1576927822424,35.60523736365361,15.965028989571376
2024-01-02,Mumbai,90.59885075079434,135.89827612619152,22.72200166303582,27.917134695236925,0.4026015120896076,38.09478214515365,Unhealthy,cpcb,CPCB_Mumbai_1550,1,18.963186185527462,29.91248585387422,67.72545603844524,9.4364261575899
2024-01-02,Bengaluru,54.52493887348766,81.7874083102315,16.269923694131087,18.27114099767313,1.1850055425961057,36.45777694384624,Unhealthy for Sensitive Groups,cpcb,CPCB_Bengaluru_3903,1,28.603867181556648,15.571774687161682,74.79212002323209,11.28869886363427
2024-01-02,Chennai,53.08338738264138,79.62508107396206,49.93410698255131,13.584651750438018,1.9317639770950545,41.97099227896248,Unhealthy for Sensitive Groups,cpcb,CPCB_Chennai_1096,1,34.53439616748364,30.18799166928377,83.34878747251379,8.000115450448593
2024-01-02,Kolkata,87.77177404940414,131.65766107410622,47.30947313221099,7.929186904607317,1.7885175578706003,17.078634504653486,Unhealthy,cpcb,CPCB_Kolkata_3425,1,32.78469989008644,19.28149454807177,88.28053120625734,11.706272105841066
2024-01-02,Hyderabad,100.29952752854486,150.4492912928173,32.62844298978947,17.35809209419837,1.0811084948554226,19.8502265063917,Unhealthy,cpcb,CPCB_Hyderabad_3382,1,8.458814337001439,22.964739559242908,72.08948401538497,14.696305739884819
2024-01-02,Pune,68.59805619462388,102.89708429193581,49.747523251982344,23.67798047571592,1.392064056801121,54.88549311631925,Unhealthy,cpcb,CPCB_Pune_9023,1,9.464287320448545,24.55327147450252,59.07064147436458,9.889612271249717
2024-01-02,Ahmedabad,49.483075026897694,74.22461254034654,63.66713795228072,19.618482714711536,1.5257561188595696,22.951355977228328,Unhealthy for Sensitive Groups,cpcb,CPCB_Ahmedabad_7166,1,21.52612222196961,25.362255012229213,56.192834586846296,9.383337694555184
